for alpha = 0.2

Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/duck/duck002.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 358 | GT Points: 197
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/duck/duck003.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 281 | GT Points: 243
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/duck/duck004.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 320 | GT Points: 349
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/duck/duck005.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 384 | GT Points: 439
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/duck/duck006.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 396 | GT Points: 407
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/duck/duck007.ply.pcd | Recall: 15.1408% | Precision: 45.7447% | Corresp: 282 | GT Points: 852
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/duck/duck008.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 268 | GT Points: 424
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/duck/duck009.ply.pcd | Recall: 0.540541% | Precision: 0.626959% | Corresp: 319 | GT Points: 370
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/duck/duck010.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 287 | GT Points: 325
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/duck/duck011.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 314 | GT Points: 372
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/duck/duck012.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 321 | GT Points: 262
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/duck/duck013.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 348 | GT Points: 365
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/duck/duck017.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 353 | GT Points: 431
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/duck/duck018.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 370 | GT Points: 418
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/duck/duck000.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 329 | GT Points: 250
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/duck/duck001.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 385 | GT Points: 175
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/duck/duck002.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 322 | GT Points: 221
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/duck/duck003.ply.pcd | Recall: 0.276243% | Precision: 0.307692% | Corresp: 325 | GT Points: 362
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/duck/duck004.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 333 | GT Points: 397
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/duck/duck005.ply.pcd | Recall: 0.437637% | Precision: 0.493827% | Corresp: 405 | GT Points: 457
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/duck/duck006.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 419 | GT Points: 259
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/duck/duck007.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 212 | GT Points: 71
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/duck/duck008.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 328 | GT Points: 477
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/duck/duck009.ply.pcd | Recall: 10.7725% | Precision: 29.8625% | Corresp: 509 | GT Points: 1411
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/duck/duck010.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 319 | GT Points: 399
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/duck/duck011.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 373 | GT Points: 444
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/duck/duck012.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 380 | GT Points: 332
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/duck/duck013.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 357 | GT Points: 356
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/duck/duck017.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 412 | GT Points: 341
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/duck/duck018.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 425 | GT Points: 340
Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/squirrel/Squirrel000.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 150 | GT Points: 190
Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/squirrel/Squirrel001.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 152 | GT Points: 188
Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/squirrel/Squirrel002.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 148 | GT Points: 156
Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/squirrel/Squirrel003.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 124 | GT Points: 212
